,aking100,alecfowl,amarlow6,amcclu13,aroman,awarden9,aweis3,bfitzpa8,bmaples6,bmilstea,btolson1,calle102,ccanonac,ccotturo,ckornega,cstefani,cvy221,cwalsh25,cwitt8,cwoodfil,ddelrosa,dferrer1,dfranke2,dhodge12,dmoffit1,dpate139,dwang58,edayney,ehead3,ehechmer,emaness,ezhao1,fchernow,fgholamr,glapham,glee30,gpatel8,harshvar,hchen73,ibhandar,jaugust4,jburns46,jchoi38,jclar166,jhenley9,jkutbay,jleuciu1,jmuncy2,jnd547,jtayl219,kchmayss,knguye34,lhunte21,lscott32,marifova,mdv623,mherna21,mkelle37,mmarcu10,mmccor23,monim,mwebb51,mzg857,ncoffey3,npatton4,nvanflee,pkx959,pmasani,pmoore34,rfranqui,rking61,rlin8,san6,sbandar1,sdasari7,sgray38,slavey,smoparth,snidiff1,spatil12,tcatunca,thatngu1,tvillarr,vbroda,vgopu,wduff,wwinslad,yarddoga,ygaikwad,yhg461,zyr546
aking100,1.0000000000000007,0.05840146002453349,0.05653058797339529,0.21259964141739562,0.11369155346946698,0.11993420222714815,0.09300541626061498,0.07218837430351918,0.06687914481251675,0.05969337036184533,0.09042283933498223,0.036778061939265166,0.09368847506384281,0.06889563110520489,0.14654815756396836,0.09881551962471752,0.053148071224987714,0.05578671053415364,0.05513043044835113,0.037817802196843504,0.07013088038167684,0.0842998170644483,0.04072512728615102,0.12933929274041447,0.08668215124690308,0.05833219760024967,0.05680066026434437,0.07047218655760003,0.11165711439356948,0.11396180263032404,0.07255562714123845,0.08671707075953752,0.08539196124996176,0.06374570176880986,0.06317243552164518,0.05939299886430158,0.09031866242917114,0.018061191473212036,0.05742611805426511,0.06803552402639233,0.11445232988806167,0.05726211958808646,0.06727269588562254,0.04939261602050063,0.03399824620473803,0.08545578739929796,0.0773936129729333,0.09084667834304526,0.07157241623097438,0.0640406644217803,0.06773250289630801,0.044601103711987375,0.11067490897762527,0.07768910919047778,0.06967215310057266,0.06941947745680364,0.06596376479062906,0.09670462939329189,0.05289998274307513,0.09831850832421721,0.07060121400191821,0.026807186619704312,0.062288985867547525,0.0617598485881839,0.07628529030453796,0.08824859281182618,0.04521518303120124,0.037722049870764184,0.08763563974280406,0.07450475929866368,0.12419522307609916,0.08993438062351361,0.11005608827438093,0.048067234710462675,0.11462770935140347,0.039831495546229,0.0656897369486621,0.050982899828207834,0.07211719714091962,0.08915908699473879,0.059509084407652305,0.06684846178903045,0.03506530083965917,0.08542203324893105,0.021645281850188224,0.05611320757265901,0.10409706362145646,0.05691137231805532,0.07254294059404134,0.06793088057922456,0.06645918378589458
alecfowl,0.05840146002453349,1.0000000000000007,0.1074350510090813,0.15844885183533353,0.12494408797418506,0.17198535831741335,0.12998751101413433,0.2248943548109328,0.07555774105359488,0.08364525914999284,0.13940205117611218,0.07543085099098054,0.14616362323291587,0.10241907150073104,0.11879646029277979,0.10128541110574323,0.07462341416818963,0.1658922721800088,0.12467783690480436,0.1178973951621593,0.06426351367798457,0.08159038308705159,0.1291395774980803,0.10113457228031172,0.023058634382705258,0.14277880539375007,0.13386065224431204,0.07214236147039259,0.11525970547862205,0.08610689039500764,0.07877061718253524,0.10654005611138273,0.14145184685086465,0.149195686909935,0.12235410919542498,0.11117954902216261,0.13016090371571806,0.041050473163721624,0.12603055532901314,0.10664313898198274,0.11422556615334248,0.13040815802008257,0.10184362851116359,0.08879361868440683,0.14018666043501804,0.1212904041409594,0.08066785524953797,0.2099501473443124,0.16967922073455613,0.13035885539643216,0.11562155113743637,0.0770556698656498,0.12222216213937838,0.08176831620442263,0.14787521241152254,0.1809252939249833,0.0722824393833049,0.15822469216849952,0.08043873405015745,0.11648402378645453,0.11970661842633895,0.09944597411056065,0.08230575696716495,0.17361243536417437,0.10011948256237302,0.14504891961950916,0.14707494339212615,0.15409112616377188,0.2301056189983523,0.1215480341364155,0.13451825981067378,0.049406562081826935,0.15519776290877113,0.08824332533521437,0.1347104536990546,0.08122844283274755,0.09266815095337684,0.09732957143418001,0.10223002911817969,0.19668013525645617,0.09986822835006451,0.15935140756544897,0.11708969530178316,0.16698111295045895,0.04880557893942706,0.12481913573669355,0.09639305996690643,0.16811109843782512,0.11211547253980081,0.15604285423475817,0.07581670232980331
amarlow6,0.05653058797339529,0.1074350510090813,1.0000000000000002,0.09762568305332837,0.14223529095980814,0.13057604598732633,0.10533062676251956,0.1234823765761326,0.058791267042648504,0.08531794998137159,0.13329449745382288,0.11769890435507913,0.11197658587676138,0.13023233804313525,0.11089571486189995,0.08767062101752818,0.13468435387172445,0.11160354187005894,0.14316612958126992,0.07149905471350466,0.03813843195864404,0.0857849842539573,0.09221155839594691,0.09833059072268964,0.07719209462823971,0.07466884942281089,0.06423211439787885,0.22412679304252203,0.05107276749791828,0.09376581479312363,0.09434336509769642,0.10271853296659905,0.14668219214510722,0.11478783603630463,0.13591770045204632,0.09337139650198938,0.10636463455534251,0.0397927547452934,0.1013036423804815,0.1415360384779043,0.08159379212043213,0.1412600453882409,0.1020716155561038,0.08414898536146118,0.0934249757280456,0.10199495081824948,0.06443616308637244,0.10274693984635716,0.19612992722950756,0.14321898409849387,0.16541673478754093,0.061362847336693394,0.12352959339261754,0.06837655780615291,0.0968159019896542,0.14412675782291226,0.06325702975395325,0.11100706859499919,0.07736683873659822,0.1521430379991134,0.07992326959102497,0.09721576197372793,0.08468084611239736,0.08218867985991106,0.10777232590527697,0.0791188459683278,0.10420497216955742,0.06693090458527574,0.15051867845365607,0.09752503974569296,0.06301698946994816,0.04118865228371872,0.10692166756080367,0.057050233378077075,0.12830029336106236,0.08019337528909576,0.1238455022841796,0.08751243251563329,0.11686913998140272,0.09550458669335714,0.13087771891796576,0.16891024726614537,0.10569633289037367,0.15320678930912104,0.0696066400021941,0.11382491296325492,0.12489593456428386,0.05967025238399247,0.10630451071312083,0.13182044467079643,0.20104567985365415
amcclu13,0.21259964141739562,0.15844885183533353,0.09762568305332837,0.9999999999999997,0.15461957077903776,0.1458829640856887,0.13220346638359015,0.1250992549505356,0.08287766962493597,0.08941524493886471,0.15637179092575876,0.08992526013776098,0.16496011056418788,0.13254495082153878,0.10325835489980398,0.19731035670581865,0.07549449071857241,0.1895875458540695,0.1058968206832682,0.04563969320646324,0.08599486932593242,0.08600676263096434,0.08857748157648974,0.15216006065448157,0.05120275572105545,0.06710460406779278,0.1108779263615706,0.09894287068973658,0.1123850069429097,0.12844926180540034,0.13525214507500197,0.09143368376958674,0.1858622888174987,0.17117081536489695,0.1312029619435442,0.12092431900955297,0.14965367745362507,0.07464056005276846,0.08117084296946775,0.10441881238651646,0.15702323166173274,0.05395283167043896,0.15276740357749988,0.07574830714826837,0.0760121411152142,0.12573337506101784,0.12382575268163759,0.1506246046906503,0.17275220248091777,0.10666047979293723,0.12855579844933143,0.0693332141890519,0.16904975539976813,0.1147452316543294,0.13169209910345475,0.09603687347454759,0.14289155254835767,0.11276205006181496,0.10231284690062867,0.13760837505269907,0.10435638498627635,0.14312934306434216,0.0926852470350317,0.1457929244855315,0.11410216926526091,0.15072053759432358,0.13373149432993386,0.18773926876017147,0.17534046996472905,0.10029340073471174,0.06272686807125563,0.0524614567903294,0.205596632933577,0.06662535695572554,0.2036147811294034,0.1010447862525167,0.10541577102600842,0.11644733269403736,0.11677960858487539,0.18224710611595574,0.07419470653945079,0.04611475241215,0.05634425212123989,0.1366423662576959,0.021286194044694604,0.11358464318743106,0.11412588713952711,0.1405427413117729,0.10802348684456178,0.16883424539781422,0.13489314325803495
aroman,0.11369155346946698,0.12494408797418506,0.14223529095980814,0.15461957077903776,1.0,0.19383485620415386,0.21200106762570659,0.15756972563928495,0.16428780765904022,0.12594312143445077,0.22168994514190782,0.1681018283883806,0.19374241160292083,0.07259885379437983,0.10710743187280325,0.08594618959540169,0.12031840990949282,0.13991004061987508,0.18669973565851403,0.027597283072328796,0.10124033695738037,0.23690589542518475,0.10979346892585731,0.07902161407020919,0.08729754946672054,0.17614091536263654,0.08949462428316148,0.0905621182220697,0.11458506328258364,0.11366122136157994,0.17673351894217293,0.17076382786166058,0.20702872505160685,0.16578169465485823,0.17484791951370138,0.12489435076606016,0.11481939410641,0.055536001427191804,0.09835144566651165,0.13377354221066265,0.11856922502778675,0.14643426759628392,0.15900648575337806,0.11492431638372372,0.11941126243383772,0.2026182530084504,0.05191758302587577,0.18306154730295648,0.19685511564602473,0.1563984206000466,0.15039422751631581,0.03612805584509127,0.1712766730101193,0.07821302302736755,0.1889133096964173,0.12372889937150729,0.0903736851252851,0.19090646282068374,0.11760079539772247,0.18121236059190166,0.11242069267936264,0.14084785106094305,0.06470716199485156,0.11413376936741045,0.11511098776147101,0.1274350428835853,0.1642689725278843,0.11078927638248813,0.21415748513904442,0.06557532500420979,0.0490742856694352,0.03384284332444515,0.1340987482342878,0.060566737681902294,0.11579413550898206,0.1229963278166127,0.08547995114989103,0.10617154846942839,0.18709980058973183,0.19841102200535987,0.10633415110073169,0.1036414076374705,0.1050525142907438,0.32989049047986574,0.035124610280296675,0.1367499315777004,0.2290044887890389,0.11209603145088429,0.18086558284961235,0.14548494050102512,0.13520474127113116
awarden9,0.11993420222714815,0.17198535831741335,0.13057604598732633,0.1458829640856887,0.19383485620415386,0.9999999999999996,0.14605063182144312,0.19783172223896528,0.11097438242569747,0.09052991667013882,0.1728090961513088,0.06925117498590289,0.10689506476078736,0.06726365314700838,0.11677118384802365,0.10871612374541448,0.13325779556002698,0.097221484889465,0.17189295339159869,0.07233033681932498,0.08105287763981699,0.1390052712927918,0.09594569709666542,0.16380724085681903,0.0779150078635871,0.0900175583223156,0.08863439295133724,0.10312062122576263,0.10448133490811976,0.12212788941023063,0.15598674424600625,0.13913062766707165,0.15239591950273843,0.10848252364278131,0.12128273377373354,0.12556435843145233,0.17530301755229385,0.12490707314026574,0.12384135997526818,0.1128954113451846,0.1835330434202079,0.17937393849158734,0.1054697965848652,0.07895642444982082,0.12342169415953072,0.16742530504151254,0.09369857137776183,0.19139233386051988,0.15507568945290878,0.12909363535115406,0.12634107042874937,0.07973567451631265,0.18691460122808984,0.10266464464743957,0.15687099265299168,0.19821177394850553,0.08889177797042046,0.17644586190980083,0.06785786418246356,0.17821142599218884,0.08773679812260374,0.08686132789885073,0.08816885966782902,0.1224483691070387,0.10767150154244606,0.08296977451364598,0.0869562394187153,0.065576323560609,0.1357779433392925,0.12940722231083965,0.10308966968515061,0.12930417882253334,0.1573674751315141,0.07668934699838104,0.14162585985161388,0.07188747338929825,0.1438564698977945,0.08626696009301138,0.15912338680228955,0.14470472376465182,0.10032972083169063,0.08710394130951761,0.08939450273816371,0.14660193517151282,0.0646395258828068,0.08255272508123408,0.09838003506394041,0.10335237876424927,0.1503066392415207,0.14945657219707628,0.16515028726751996
aweis3,0.09300541626061498,0.12998751101413433,0.10533062676251956,0.13220346638359015,0.21200106762570659,0.14605063182144312,1.0000000000000002,0.09973374635838293,0.08021628019525313,0.10938829046167625,0.17865944433382686,0.09745953957300088,0.2475077002522859,0.07560134771172239,0.11080328679386811,0.06274596489896672,0.09294739638691389,0.1358095268416277,0.11452975045117562,0.047549697519451165,0.08102324875170129,0.17047618246553323,0.11618639940860626,0.11467192453917886,0.056983574116028446,0.1524800402257251,0.06690000143740632,0.06698325098605107,0.1399024595931739,0.15325596317627926,0.16649081834750762,0.15374433922068906,0.17326423271475183,0.1265485915788528,0.09839056984120222,0.06822094557417863,0.10480035052901158,0.06581528241014806,0.10995634975190566,0.11049987829794726,0.16417334831297392,0.1207434581576081,0.0880189830862623,0.09365539564689851,0.09823923232581033,0.11594548018031864,0.07154569200761969,0.1721522678775372,0.13884627017688714,0.12279945389877098,0.11510749894978718,0.06576267301157976,0.13890766145708772,0.10371482013166336,0.13537711490062188,0.0857274156151951,0.25950542869556703,0.08690624987098751,0.10336786387653726,0.11190208762519308,0.16110848807204287,0.10087550242091003,0.07466995380201685,0.11485923267455472,0.0757468580749068,0.08231242518696595,0.1277481650799936,0.10086613812368501,0.16945686458238812,0.056406575913369415,0.1008615651729175,0.08118853158178231,0.1177778719457479,0.08742131281185482,0.18003170088595166,0.0694615381490959,0.12384449530911376,0.19936675717972105,0.14943823196398864,0.16153549875509973,0.07916950892058625,0.04050243142263264,0.13026520068769995,0.20952174681040955,0.09149437934453551,0.09568897245103461,0.1985229166884827,0.13163739536906213,0.1869487098603444,0.127353191031495,0.14060466412810266
bfitzpa8,0.07218837430351918,0.2248943548109328,0.1234823765761326,0.1250992549505356,0.15756972563928495,0.19783172223896528,0.09973374635838293,1.0,0.09572502151208515,0.08594743727665488,0.1767177451733994,0.08802874982703729,0.1081209448902827,0.08960352582129691,0.2140142411111454,0.13635081315183176,0.10744997488761109,0.18509650882656953,0.20128197070512188,0.09677040073354562,0.09003888827299959,0.10357573356438629,0.1553406118164512,0.12663184935776525,0.056203149451291484,0.2132906136664373,0.1519729772435252,0.10487853863485538,0.12092801672560727,0.12930516083523005,0.08706189746713197,0.12749228935130852,0.2544233436130058,0.13125466481661516,0.15187729212294432,0.19196893633415915,0.13018421797769164,0.08466357991433049,0.159062088855776,0.12347013099977983,0.10687987190839371,0.1333773388814969,0.15223750483077755,0.14045117766534249,0.15841436900261094,0.17160107524922566,0.07891679250717651,0.21040837720395567,0.22845668412010958,0.13972037749387572,0.13173689979178022,0.09285989172116425,0.26748202403124366,0.10338983558041517,0.1863624134397435,0.15579303297310665,0.12533855117793916,0.2078439276384716,0.06327304725879879,0.1634902430319632,0.10470760502470533,0.23392831797636068,0.07139421426124616,0.13426434450803207,0.13732141158136124,0.19462748939951516,0.097727413561382,0.10363928185827541,0.12054916162001578,0.12534483147831002,0.1651224928197775,0.056632190883599665,0.13257948197932978,0.11354539028113089,0.1271836712355183,0.09139160610241674,0.10668413644479903,0.07432052987919602,0.10943019862063472,0.19973350609992882,0.1279950199043631,0.1807905254811274,0.07724052853293177,0.1247862178224616,0.06283438899098645,0.10874619169530901,0.07311432822592817,0.16865147393532598,0.11148770755009133,0.1865770634542287,0.10696442971521974
bmaples6,0.06687914481251675,0.07555774105359488,0.058791267042648504,0.08287766962493597,0.16428780765904022,0.11097438242569747,0.08021628019525313,0.09572502151208515,1.0000000000000009,0.05939149036506159,0.13532419634435372,0.0697114655103812,0.08774860878234278,0.08707815208132808,0.05150708651543483,0.13667094216742143,0.08371115315155397,0.13235701342527448,0.09948687384938752,0.048694627410724826,0.0749785241295041,0.12875932994643263,0.07676977898064459,0.08124403964261842,0.055797752579314644,0.08529754513680546,0.04639884189032263,0.039638540701287785,0.07050942637425547,0.052184669547698334,0.08661369561910831,0.15320164061006292,0.09119911608687413,0.09475176649975685,0.1272600035376154,0.10161918852407098,0.10564721967906356,0.06500115836037397,0.067798875244493,0.11497074980836351,0.06264634409084259,0.03359743037550998,0.09298677032568929,0.05519851432715714,0.13262029791911067,0.13457900455343236,0.071241886838013,0.08630764544762314,0.11323005606697878,0.12314558016991077,0.11472175712473491,0.0878852427546356,0.10058738559056413,0.06679774999553129,0.07605114230310692,0.139187578674196,0.052271162255046306,0.12844643640986653,0.028533295379368426,0.1167871249518388,0.08502373360712333,0.06817997033342034,0.027881338000558368,0.09173675567893758,0.0954500955510878,0.09107903937006226,0.08971247901511485,0.05495178521890264,0.06361473535301142,0.06284192249110086,0.03497980838862841,0.05863524856813409,0.061555616733765056,0.08813304818948967,0.12399281408839817,0.07605470521824824,0.08552980059257025,0.05361862963996317,0.10779628378904439,0.11801178384326881,0.07492543519385476,0.07953053200528509,0.06171821394196208,0.11665116670385313,0.04610050916566333,0.1474360610713265,0.12718922587798356,0.08464523274496422,0.09623100982898235,0.11275923971449169,0.05662676234190867
bmilstea,0.05969337036184533,0.08364525914999284,0.08531794998137159,0.08941524493886471,0.12594312143445077,0.09052991667013882,0.10938829046167625,0.08594743727665488,0.05939149036506159,1.0000000000000002,0.16226466095664951,0.03998816683202476,0.16035813071635718,0.064794918373883,0.0638091091590638,0.09460120884752515,0.08723451911059442,0.07402018991017463,0.07574609677547425,0.031215337394105577,0.08821382967087964,0.1266007291409053,0.14704902032389003,0.11175439447101461,0.04929146989305032,0.06471964968517148,0.06836909421700452,0.06121059895559613,0.1232540981873729,0.13817002347394652,0.16654590522185428,0.08762780123873555,0.16162985445447575,0.1081831764072581,0.11464735988616762,0.10955541909370603,0.10587464375754936,0.039708157977564044,0.11787590782315006,0.10921554508852299,0.1484670774032501,0.06595329002012108,0.09891446590718526,0.1099541498325336,0.10881545663949592,0.08708696728789674,0.03964260548967938,0.09775163003987936,0.15938715147872606,0.16441109606516968,0.19827959751835425,0.09122728615221261,0.12825386859989507,0.11769540147919166,0.08750788504980152,0.08134442262737115,0.06392073413840586,0.15140929517464657,0.0940658266337606,0.09804564775243028,0.13642523564491849,0.07202782878392273,0.12722470338635103,0.1315796993267128,0.08029040426953782,0.04689061573782059,0.09667972148626769,0.07204108979620247,0.08300327392243831,0.10570590750557562,0.07066267539064566,0.09275669885643892,0.10283560444512231,0.1198559929275423,0.15773280622042854,0.07667116827101847,0.1674351241102229,0.06631805761476363,0.11970058447363759,0.11262353501266043,0.09950467769057446,0.04051588620847914,0.05494420753726047,0.1535258158027006,0.14872464742267288,0.06862694923987869,0.13627140926087636,0.09299138254147009,0.14770083128991396,0.17893863610219068,0.08553205595871827
